,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
16124,16125,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",2,,,,,,,Bash/Shell;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;Rust;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite,Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,AWS;Heroku,AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure,ASP.NET;Express;Flask;jQuery;Laravel;Vue.js,Express;Flask;Vue.js,.NET Framework;Flutter,,Ansible;Docker;Git;Kubernetes;Terraform,Ansible;Docker;Git;Kubernetes;Terraform,Neovim;Visual Studio;Visual Studio Code,Neovim;Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
16197,16198,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",14,12,"Senior Executive (C-Suite, VP, etc.)","Just me - I am a freelancer, sole proprietor, etc.",IDR	Indonesian rupiah,,,Dart;Rust,Dart;Rust,PostgreSQL;Redis,PostgreSQL;Redis,Google Cloud Platform,Google Cloud Platform,,,Flutter,Flutter,Docker;Kubernetes;Terraform,Docker;Kubernetes;Terraform,,,MacOS,Google it,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
16397,16398,I am a developer by profession,Employed full-time,Indonesia,,,"Associate degree (A.A., A.S., etc.)",35 - 44 years,"Other online resources (ex: videos, blogs, etc)",10,5,"Developer, full-stack",2 to 9 employees,IDR	Indonesian rupiah,,Monthly,Delphi;Kotlin,Delphi;Kotlin,Firebase;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Firebase;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,,,,,,,Git,Git,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Windows,Visit Stack Overflow,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,35-44 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Too long,Neither easy nor difficult,
16482,16483,I am a student who is learning to code,"Not employed, but looking for work",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",,,Student,,,,,SQL,C,MariaDB,MariaDB,,,jQuery,Flask;React.js,Pandas,Pandas,,,NetBeans;Notepad++;Sublime Text;Visual Studio Code,PyCharm;Visual Studio Code,Linux-based,Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,"Yes, somewhat",No,,,,,East Asian,,,Too long,Neither easy nor difficult,
16761,16762,I am a student who is learning to code,Employed part-time,Indonesia,,,Primary/elementary school,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",5,,"Developer, front-end;Developer, full-stack;Student;Developer, game or graphics",,,,,Dart;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL,Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;Swift,Firebase;MySQL;PostgreSQL,Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Heroku,AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Microsoft Azure,jQuery;Laravel;React.js;Ruby on Rails;Svelte;Symfony;Vue.js,Django;Express;Laravel;React.js;Svelte;Symfony;Vue.js,Flutter,Flutter;Keras;NumPy;Pandas;Qt;React Native;TensorFlow;Torch/PyTorch,Git;Yarn,Deno;Docker;Git;Kubernetes;Unity 3D;Unreal Engine;Yarn,Notepad++;Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Meditate;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,Under 18 years old,Man,No,Gay or Lesbian,Southeast Asian,None of the above,None of the above,Too long,Easy,
17084,17085,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,School,8,,,,,,,C;C++;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL,Python,Firebase;MySQL;Oracle;PostgreSQL,Firebase;MySQL,AWS;Google Cloud Platform,AWS;Google Cloud Platform,Angular;Angular.js;Django;Flask;jQuery;Laravel;React.js;Spring,Flask,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Git,Git,Android Studio;Atom;Eclipse;IPython/Jupyter;NetBeans;Notepad++;PyCharm;Sublime Text;Visual Studio Code,IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Panic,Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,Bisexual;Gay or Lesbian,Southeast Asian,None of the above,None of the above,Too long,Easy,
17201,17202,I am a student who is learning to code,"Not employed, but looking for work",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague",2,,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Student",,,,,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,,MySQL;PostgreSQL,,,,Django,Express;jQuery;Vue.js,,,Git,Docker;Git;Kubernetes,Android Studio;IPython/Jupyter;Sublime Text;Visual Studio Code,,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
17250,17251,I am a student who is learning to code,"Student, full-time",Indonesia,,,Primary/elementary school,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",5,,,,,,,C++;HTML/CSS;JavaScript,C++;HTML/CSS;Java;JavaScript,MySQL,,,,,,,,Git,Git,Notepad++;Sublime Text;Visual Studio Code,Neovim;Vim;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
17251,17252,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,4,,,,,,,C;C++,C++;Go;Rust,Firebase;MySQL;SQLite,PostgreSQL;SQLite,AWS;Microsoft Azure,AWS;DigitalOcean;Heroku;Microsoft Azure,React.js,,Qt,Flutter,Ansible;Docker;Git,Docker;Git,Android Studio;Emacs;Sublime Text;Vim;Visual Studio Code,Neovim;Vim;Visual Studio Code,Linux-based,Google it,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
17311,17312,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",3,3,"Developer, full-stack",100 to 499 employees,IDR	Indonesian rupiah,12000000.0,Monthly,HTML/CSS;Java;JavaScript;SQL;TypeScript,,Couchbase;MySQL;PostgreSQL,,AWS,,Angular;React.js;Spring,Angular;React.js;Spring,,,Docker;Git;Kubernetes,Docker;Git;Kubernetes,IntelliJ;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,10536.0
17683,17684,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",4,3,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,IDR	Indonesian rupiah,12000000.0,Monthly,Dart;Java;JavaScript;Node.js;TypeScript,Dart;JavaScript;Node.js;TypeScript,Firebase;MongoDB;Redis,Firebase;MongoDB;Redis,DigitalOcean;Heroku,DigitalOcean;Heroku,Express;React.js,Express;React.js,Flutter;React Native,Flutter;React Native,Deno;Git;Yarn,Deno;Git;Yarn,Android Studio;Atom;Emacs;Sublime Text;Vim;Visual Studio Code;Xcode,Android Studio;Vim;Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian;Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,10536.0
18170,18171,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Coding Bootcamp;Online Forum;Online Courses or Certification;Colleague;Books / Physical media,,,"Developer, full-stack;Engineer, data;Data scientist or machine learning specialist;Developer, back-end;Scientist;Developer, embedded applications or devices","Just me - I am a freelancer, sole proprietor, etc.",IDR	Indonesian rupiah,8500000.0,Monthly,C;C#;C++;HTML/CSS;JavaScript;Matlab;Node.js;Perl;PHP,,Firebase;MariaDB;MySQL,,Google Cloud Platform;Microsoft Azure;Oracle Cloud Infrastructure,,jQuery;Laravel;React.js,,Hadoop;Keras;NumPy;TensorFlow,,Unity 3D;Unreal Engine,,IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Visual Studio Code,,Windows,Visit Stack Overflow;Google it;Meditate;Play games,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",No,18-24 years old,Man,No,Straight / Heterosexual,East Asian,I am unable to / find it difficult to walk or stand without assistance,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Easy,7464.0
18452,18453,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",6,,,,,,,Kotlin;Python,Python;R;SQL,Firebase;PostgreSQL,PostgreSQL,Google Cloud Platform,AWS;Google Cloud Platform,Laravel,Django;Flask,Apache Spark;Flutter;NumPy;Pandas,Apache Spark;Flutter;Keras;NumPy;Pandas;TensorFlow,Git,Docker;Git,Android Studio;IntelliJ;IPython/Jupyter;Visual Studio Code;Xcode,IPython/Jupyter;Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Play games;Other (please specify):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
18593,18594,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,Some college/university study without earning a degree,11 - 17 years,Colleague;Books / Physical media,31,19,"Developer, desktop or enterprise applications;Engineer, data;Database administrator;Data or business analyst;System administrator",100 to 499 employees,IDR	Indonesian rupiah,,,Assembly;Delphi;HTML/CSS;JavaScript;PHP;SQL;VBA,Assembly;Delphi;HTML/CSS;JavaScript;PHP;SQL;VBA,PostgreSQL;SQLite,PostgreSQL;SQLite,,,,,,,,,,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Less than once per month or monthly,No,,"No, not really",No,45-54 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
18660,18661,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,5,1,"Developer, full-stack;Other (please specify):",20 to 99 employees,IDR	Indonesian rupiah,5500000.0,Monthly,Elixir;Go;JavaScript;Python;Ruby;SQL,Elixir;Go;JavaScript;Julia;Python;Rust;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Google Cloud Platform,Google Cloud Platform,Express;Flask;Svelte,React.js;Svelte;Vue.js,Pandas,NumPy;Pandas;TensorFlow;Torch/PyTorch,Docker;Git,Docker;Git;Kubernetes,IPython/Jupyter;Notepad++;Visual Studio Code,IPython/Jupyter;Notepad++;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Easy,4836.0
18910,18911,None of these,"Not employed, but looking for work",Indonesia,,,Some college/university study without earning a degree,Younger than 5 years,"Other online resources (ex: videos, blogs, etc);Online Forum",,,"Developer, full-stack;Developer, back-end;Student;System administrator",,,,,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;Python,Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript,MariaDB;MySQL;PostgreSQL;SQLite,Firebase;SQLite,,,Flask;jQuery,,,,Docker;Git,Docker;Git,Notepad++;Sublime Text;Visual Studio Code,Android Studio;Sublime Text,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate;Visit another developer community (please name):;Other (please specify):,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,Yes,18-24 years old,Man,No,Prefer not to say,Southeast Asian,None of the above,"Or, in your own words:",Appropriate in length,Neither easy nor difficult,
18926,18927,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague;Books / Physical media",7,4,"Developer, full-stack;Engineer, data;Developer, back-end;Student;Developer, QA or test",2 to 9 employees,IDR	Indonesian rupiah,,,JavaScript;PHP;Python,Go;JavaScript;PHP;Python;Ruby,MySQL;PostgreSQL,Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,,jQuery;Laravel;Vue.js,Angular;Django;Express;Flask;jQuery;Laravel;React.js;Vue.js,NumPy;Pandas,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Git;Kubernetes,Ansible;Docker;Git;Kubernetes;Terraform,Vim;Visual Studio,PHPStorm;PyCharm;Vim;Visual Studio,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games;Panic;Other (please specify):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,South Asian,,I have an anxiety disorder,Appropriate in length,Neither easy nor difficult,
18976,18977,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague",6,2,"Developer, back-end",10 to 19 employees,IDR	Indonesian rupiah,3500000.0,Monthly,Node.js;PHP,C;C++;Go;Java;Node.js;PHP,MariaDB;MongoDB;MySQL,IBM DB2;MongoDB;MySQL;Oracle;Redis,AWS,AWS;Google Cloud Platform;IBM Cloud or Watson,,,,,Git,Docker;Git;Kubernetes,Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,3072.0
19462,19463,I am a developer by profession,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",4,,,,,,,Dart;HTML/CSS;JavaScript;PHP;SQL,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL;Swift,Firebase;MySQL;PostgreSQL,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Heroku;Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,jQuery;Laravel,Express;jQuery;Laravel,Flutter,Flutter,Git,Git,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code;Xcode,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Visit another developer community (please name):,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Appropriate in length,Easy,
