,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
36928,36929,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Secondary school,,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",7.0,Between 1 and 2 years ago,,,,,,,,,,,,,,,,Annual bonus; Vacation/days off; Private office; Remote options; Child/elder care,,Glassdoor; Indeed; LinkedIn; Monster,,A general-purpose job board,,,,,,,,,,,,,Tabs,,,,,,,C; Matlab; VB.NET,,Node.js,,SQL Server,,,,Notepad++; Sublime Text; Android Studio; Eclipse; NetBeans; Visual Studio,Turn on some music,Waterfall; Agile,Git,A few times a month,Agree,Disagree,Agree,Somewhat agree,Strongly agree,Disagree,Disagree,Lines of code; Hours worked; Commit frequency; Benchmarked product performance; On time/in budget; Manager's rating; Self-rating,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",8.0,,,,,,,,,,,,,,,,,,Male,Primary/elementary school,"East Asian; Native American, Pacific Islander, or Indigenous Australian; South Asian",,,,,,
37011,37012,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",Indonesia,No,"Independent contractor, freelancer, or self-employed",Professional degree,A health science,Never,,,2 to 3 years,2 to 3 years,,,,,Marketing or sales manager; Designer or illustrator,7.0,7.0,,,,,,,,,"Enunciating each letter: ""gee eye eff""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online course; Bootcamp; Part-time/evening course; Self-taught,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37027,37028,Professional developer,"Yes, both",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,Pre-series A startup,5 to 6 years,1 to 2 years,,Web developer,Front-end Web developer,,,7.0,8.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Neither underpaid nor overpaid,Spaces,Important,Online course; Self-taught; Open source contributions,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Company internal community; Friends network; Built-in help,,Return to college; Take online courses; Bootcamp; Buy books and work through the exercises,10:00 AM,CoffeeScript; JavaScript; PHP; Python; Ruby,Go; Haskell; JavaScript; PHP; Python; Ruby; Scala; TypeScript,,React,MongoDB; Redis; MySQL,MongoDB; Redis; MySQL,Linux Desktop; WordPress,Android; Linux Desktop; Amazon Web Services (AWS),Emacs; Vim,Turn on some music,Waterfall; Agile; Scrum; Extreme,Git,Multiple times a day,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Disagree,Customer satisfaction; Benchmarked product performance; On time/in budget; Manager's rating; Peers' rating,Satisfied,Somewhat satisfied,Somewhat satisfied,Satisfied,Satisfied,Satisfied,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop; Android browser,At least once each week,At least once each week,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Male,A bachelor's degree,,Somewhat agree,Strongly agree,Disagree,Strongly agree,710.492857677062,
37344,37345,Student,"Yes, both",Indonesia,No,"Not employed, and not looking for work",Secondary school,,,,,11 to 12 years,,,,,,,,,,,,,,,,,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,I am not interested in new job opportunities,,Not applicable/ never,,,,,,,,,,,,,,,,Stock options; Retirement; Health benefits; Private office,No,,,,Very important,Important,Very important,Very important,Important,Not at all important,Not at all important,Not at all important,Important,Very important,,,Tabs,,,,,,6:00 AM,Assembly; C; C#; CoffeeScript; Clojure; Elixir; Go; JavaScript; Lua; Python; TypeScript,Assembly; C; CoffeeScript; Clojure; Go; Lua; Python,.NET Core,.NET Core,,,Linux Desktop; Raspberry Pi,,Atom; Emacs; Vim,Something else,,Git,Just a few times over the year,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Not at all satisfied,Satisfied,Very satisfied,Somewhat satisfied,Satisfied,Satisfied,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,10.0,Desktop,At least once each day,At least once each day,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,At least once each day,At least once each day,,,,,,,,,,I don't know/not sure,South Asian; White or of European descent,Strongly agree,,,,,897.464662328921
37442,37443,Used to be a professional developer,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,Non-profit/non-governmental organization or private school/university,20 or more years,,17 to 18 years,,,,,4.0,6.0,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Somewhat agree,Strongly disagree,Disagree,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,Both,,Industry certification; Self-taught,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Non-Stack online communities; Built-in help,,Return to college; Master's degree; Get a job as a QA tester; Take online courses,8:00 AM,JavaScript; PHP; SQL,Go; Hack; Haskell; JavaScript; PHP; Python; Ruby; Rust; SQL,,AngularJS; Hadoop; Node.js; React,MySQL,Cassandra; MongoDB; Redis; SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Windows Desktop,Android; Windows Desktop; WordPress; Amazon Web Services (AWS),Atom; Notepad++; Sublime Text,Turn on some music,Waterfall,I don't use version control,,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,Customer satisfaction; Manager's rating; Peers' rating; Self-rating,Not very satisfied,Not very satisfied,Not very satisfied,Not very satisfied,Not very satisfied,Not at all satisfied,Not much influence,No influence at all,No influence at all,No influence at all,Not much influence,No influence at all,Some influence,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Male,Primary/elementary school,,Somewhat agree,Strongly agree,Disagree,Strongly agree,,
37448,37449,Professional developer,"Yes, both",Indonesia,No,Employed full-time,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",About half the time,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",15 to 16 years,11 to 12 years,,Web developer; Mobile developer; Database administrator; Systems administrator,,,,9.0,9.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,I am not interested in new job opportunities,,More than 4 years ago,,,,,,,,,,,,,,,,Retirement; Annual bonus; Health benefits; Equipment; Child/elder care,Yes,LinkedIn,A friend told me about a job opportunity,I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Somewhat important,Important,Somewhat important,,Not at all important,Somewhat important,Not at all important,Not at all important,Very important,,Neither underpaid nor overpaid,Spaces,Very important,Online course; Self-taught; Hackathon; Open source contributions,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Non-Stack online communities; Friends network; Built-in help,,Bootcamp; Part-time/evening courses; Buy books and work through the exercises,8:00 AM,Java; PHP,Java; PHP,,React,MySQL,MySQL; PostgreSQL,Android,Android; iOS,Android Studio; PHPStorm; Visual Studio Code,Turn on some music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,9.0,Desktop; iOS browser,Several times,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Several times,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Male,High school,East Asian; South Asian,Disagree,Agree,Disagree,Agree,9872.11128561813,
37456,37457,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time","Not employed, and not looking for work",Secondary school,,,,,2 to 3 years,,,,,,,,,,,,,,,,,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",1.0,Not applicable/ never,Important,Very important,Important,Somewhat important,Important,Somewhat important,Important,Very important,Important,Not very important,Important,Important,Not very important,Somewhat important,Not very important,Vacation/days off; Equipment; Professional development sponsorship; Education sponsorship,Yes,,,,,,,,,,,,,,,,Tabs,,,,,,9:00 AM,Java; JavaScript; PHP; SQL,C++; Python; Ruby,,AngularJS; Node.js; React,MySQL,MongoDB; Oracle,Android; Windows Desktop,Android; Windows Desktop,Sublime Text,Turn on some music,Waterfall; Agile,Git,A few times a month,Disagree,Agree,Strongly disagree,Somewhat agree,Strongly agree,Agree,Agree,Customer satisfaction; On time/in budget,Not at all satisfied,Satisfied,Not at all satisfied,Somewhat satisfied,Not very satisfied,Not very satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop,Several times,Once or twice,Once or twice,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Disagree,Disagree,,,Agree,Agree,Disagree,,Male,"Some college/university study, no bachelor's degree",,Somewhat agree,Somewhat agree,Disagree,Strongly agree,,299.154887442974
37465,37466,Professional developer,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees","Sole proprietorship or partnership, not in startup mode",4 to 5 years,4 to 5 years,,Web developer; Mobile developer; Embedded applications/devices developer; Data scientist; Desktop applications developer,,,,10.0,10.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waterfall; Agile; Scrum; Kanban; Evidence-based SWE; Domain-driven design,Git,Multiple times a day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37523,37524,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years,1 to 2 years,,Web developer,Full stack Web developer,,,7.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",3.0,Less than a year ago,Somewhat important,Very important,Very important,Important,Very important,Important,Very important,Very important,Somewhat important,Somewhat important,Important,Very important,Somewhat important,Very important,Important,Retirement; Annual bonus; Vacation/days off; Health benefits; Remote options,Yes,LinkedIn,I received bad news about the future of my company or depart,A general-purpose job board,Somewhat important,Important,Important,Somewhat important,Important,Not very important,Somewhat important,Not very important,Somewhat important,Very important,,Neither underpaid nor overpaid,Spaces,Very important,On-the-job training; Self-taught,Official documentation; Stack Overflow Q&A,,Get a job as a QA tester; Take online courses,7:00 AM,Java; JavaScript; PHP,Go; Rust; TypeScript,AngularJS,Node.js; Firebase,MySQL; PostgreSQL; Oracle,Cassandra; MongoDB; Redis,Linux Desktop,Amazon Web Services (AWS),Vim; Eclipse; IntelliJ,Keep the room absolutely quiet,,,,,,,,,,,,Not very satisfied,Somewhat satisfied,Somewhat satisfied,Satisfied,Not very satisfied,Not very satisfied,A lot of influence,Some influence,Some influence,Some influence,,Not much influence,Some influence,Some influence,Some influence,Some influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Male,A bachelor's degree,East Asian,Somewhat agree,Strongly agree,Disagree,Strongly agree,344.02812055942,
37528,37529,Student,"Yes, both",Indonesia,I prefer not to say,"Not employed, and not looking for work",Secondary school,,,,,2 to 3 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online course; Self-taught; Open source contributions,Non-Stack online communities; Company internal community; Friends network,,Take online courses; Conferences/meet-ups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37555,37556,Professional developer,No,Indonesia,No,Employed full-time,Bachelor's degree,A non-computer-focused engineering discipline,"Less than half the time, but at least one day each week",Fewer than 10 employees,"Privately-held limited company, not in startup mode",Less than a year,19 to 20 years,,Desktop applications developer; Database administrator,,,,9.0,9.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",0.0,More than 4 years ago,Important,Not very important,Not very important,Important,Important,Important,Important,Somewhat important,Somewhat important,Not very important,Important,Important,Not very important,Important,Somewhat important,Health benefits; Equipment; Professional development sponsorship,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Somewhat satisfied,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37811,37812,Professional developer,"Yes, both",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer programming or Web development,About half the time,"10,000 or more employees",State-owned company,12 to 13 years,10 to 11 years,,Web developer; Mobile developer; Database administrator; Systems administrator,,,,8.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,No,LinkedIn; Monster,"I completed a major project, assignment, or contract",I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Important,Somewhat important,Somewhat important,Important,Important,Important,Important,Important,Important,U.S. dollars ($),,Tabs,,,,,,9:00 AM,Java; JavaScript; Lua; PHP; SQL,C; C++; Go; Java; JavaScript; Objective-C; Python; SQL,AngularJS; Node.js,AngularJS; Hadoop; Node.js; React; Spark; Firebase,Redis; SQL Server; MySQL; PostgreSQL; Oracle,Cassandra; MongoDB; Redis; PostgreSQL; Oracle,Android; iOS; Mac OS,Android; iOS; Mac OS; Amazon Web Services (AWS),Atom; Sublime Text; Vim; Android Studio; IntelliJ; Komodo; NetBeans; Xcode,Turn on some music,Waterfall; Agile; Scrum; Extreme; Pair,Git,Multiple times a day,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Bugs found; Customer satisfaction; Benchmarked product performance; On time/in budget; Peers' rating; Self-rating,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,A lot of influence,Some influence,Not much influence,Some influence,A lot of influence,Not much influence,A lot of influence,Not much influence,Some influence,A lot of influence,A lot of influence,I have created a CV or Developer Story on Stack Overflow,8.0,Desktop; Android browser,At least once each week,At least once each week,At least once each week,Several times,At least once each week,Several times,Several times,Several times,Agree,,,Agree,Agree,Agree,Agree,,Male,A bachelor's degree,East Asian,Agree,Agree,Disagree,Agree,,
37813,37814,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Management information systems,Never,100 to 499 employees,Government agency or public school/university,2 to 3 years,1 to 2 years,,,,,Designer or illustrator; Other,5.0,6.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",10.0,Less than a year ago,Important,Important,Important,Important,Important,Very important,Important,Very important,Important,Important,Important,Important,Somewhat important,Important,Important,Retirement; Private office; Education sponsorship; Long-term leave; Remote options,Yes,LinkedIn,,"A friend, family member, or former colleague told me",Important,Important,Important,Not very important,Somewhat important,Not very important,Not very important,Not very important,Not very important,Important,,,Tabs,,On-the-job training; Self-taught; Hackathon,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Company internal community,,Take online courses; Part-time/evening courses; Participate in online coding competitions; Conferences/meet-ups,8:00 AM,C; C++; C#; Java; JavaScript; PHP; SQL,C; C++; C#; Java; JavaScript; Lua; Objective-C; Perl; PHP; Python; Ruby; SQL; Swift; VB.NET; VBA,,AngularJS; Node.js; React; Cordova; Xamarin,MySQL,SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Android; Arduino,Android; iOS; Windows Phone; Windows Desktop; Linux Desktop; Mac OS; Arduino; Raspberry Pi; Microsoft Azure,Notepad++; Android Studio; Eclipse; PHPStorm; Visual Studio; Visual Studio Code,Turn on some music,Extreme; Pair,Copying and pasting files to network shares,Once a day,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,,Not very satisfied,Not very satisfied,Not very satisfied,Not very satisfied,Not very satisfied,Somewhat satisfied,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Some influence,Not much influence,Not much influence,Not much influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",7.0,Desktop; Android browser,At least once each day,Several times,Once or twice,Once or twice,Once or twice,Once or twice,Haven't done at all,Once or twice,Somewhat agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Female,"Some college/university study, no bachelor's degree",East Asian,Agree,Somewhat agree,Disagree,Agree,,
