,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
89560,86331,Yes,No,Indonesia,,"Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,0-2 years,,,,,I am not interested in new job opportunities,I've never had a job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Yearly,0.0,IDR,,,"Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher",,,,,,Assembly;C;C++;C#;Java,Assembly;C;C++;C#;Java,,,Windows Desktop or Server,Windows Desktop or Server,.NET Core,.NET Core,Visual Studio,Windows,1,,I don't use version control,,Yes,Yes,The website I was visiting forced me to disable it to access their content;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Strongly agree,Neither agree nor disagree,Stopped going to a website because of their advertising,2.0,4.0,1.0,5.0,3.0,6.0,7.0,Increasing automation of jobs,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",The person who came up with the idea,Yes,0 (Not Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,I'm not sure,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,I do not have a set schedule,9 - 12 hours,3 - 4 hours,Never,Standing desk,Daily or almost every day,Male,Straight or heterosexual,Primary/elementary school,East Asian,18 - 24 years old,No,,The survey was too long,Neither easy nor difficult
89627,88624,Yes,No,Indonesia,"Yes, full-time","Not employed, but looking for work",Some college/university study without earning a degree,Mathematics or statistics,,,0-2 years,,,,,I am actively looking for a job,I've never had a job,7.0,8.0,2.0,1.0,6.0,10.0,5.0,9.0,4.0,3.0,1.0,3.0,7.0,4.0,9.0,10.0,8.0,2.0,6.0,5.0,11.0,3.0,1.0,2.0,4.0,5.0,3.0,1.0,6.0,2.0,4.0,7.0,5.0,A friend told me about a job opportunity,U.S. dollars ($),1600,Monthly,19200.0,USD,,,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague",,,Agree,Agree,Disagree,C++,C;C++;Java;JavaScript;Matlab;PHP;Python;R;Scala;Swift;HTML;CSS,,"Cassandra;SQL Server;MySQL;PostgreSQL;SQLite;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Amazon Redshift;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",,Amazon Echo;Android;Apple Watch or Apple TV;Gaming console;Google Cloud Platform/App Engine;Google Home;IBM Cloud or Watson;iOS;Linux;Mac OS;Windows Desktop or Server,,Angular;Hadoop;Node.js;React;Spark;TensorFlow,Atom;IPython / Jupyter;RStudio;Visual Studio;Visual Studio Code,Windows,1,,I don't use version control,,No,,,Somewhat agree,Strongly agree,Somewhat agree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),7.0,5.0,4.0,3.0,6.0,1.0,2.0,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,9,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, and I don't know what that is",9,Yes,Very interested,Very interested,Extremely interested,,Very interested,Before 5:00 AM,5 - 8 hours,3 - 4 hours,Never,Fatigue-relieving floor mat,Daily or almost every day,Male,Straight or heterosexual,Some college/university study without earning a degree,South Asian,18 - 24 years old,No,,The survey was an appropriate length,Somewhat easy
89737,92391,Yes,Yes,Indonesia,No,"Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,0-2 years,,,,,"I’m not actively looking, but I am open to new opportunities",I've never had a job,3.0,9.0,7.0,2.0,10.0,4.0,8.0,1.0,6.0,5.0,5.0,2.0,6.0,8.0,7.0,9.0,4.0,1.0,11.0,10.0,3.0,3.0,1.0,2.0,5.0,4.0,4.0,1.0,6.0,3.0,7.0,2.0,5.0,A friend told me about a job opportunity,,,,,,,,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",,,Disagree,Strongly agree,Disagree,C++;JavaScript,C++;Java;JavaScript,MongoDB,MongoDB;SQL Server;MySQL,,,Node.js,Angular;Node.js,Visual Studio Code,Windows,1,,Git,A few times per week,Yes,No,,Strongly agree,Somewhat agree,Somewhat agree,Stopped going to a website because of their advertising,,,,,,,,Increasing automation of jobs,,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",The developer who wrote it,Yes,4,A few times per week,I'm not sure / I can't remember,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,I'm not sure,,,,,,,,,,,,Female,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,Under 18 years old,No,,The survey was too long,Somewhat easy
89993,76885,Yes,No,Indonesia,No,"Independent contractor, freelancer, or self-employed","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",,,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,,,,,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,C++;Java;Matlab,Java;JavaScript;PHP;SQL;HTML;CSS,MySQL,MySQL,Android,Android;Firebase,,React,Android Studio;NetBeans;Sublime Text,Windows,1,,I don't use version control,,No,,,Somewhat agree,Neither agree nor disagree,Strongly agree,Stopped going to a website because of their advertising,1.0,5.0,2.0,6.0,3.0,4.0,7.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes,Extremely interested,Extremely interested,Very interested,Somewhat interested,Somewhat interested,I do not have a set schedule,5 - 8 hours,3 - 4 hours,Never,Standing desk,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25 - 34 years old,No,,The survey was too long,Neither easy nor difficult
90335,17504,Yes,No,Indonesia,,,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",,,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taught yourself a new language, framework, or tool without taking a formal course",Questions & answers on Stack Overflow,,,Neither Agree nor Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90443,80014,Yes,No,Indonesia,No,"Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",,Marketing or sales professional,0-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",,,Agree,Disagree,Disagree,Java;SQL,C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS,MySQL,Cassandra;MongoDB;SQL Server;MySQL;SQLite,Windows Desktop or Server,Android;Windows Desktop or Server,,Angular;.NET Core;React;Spring,NetBeans;Visual Studio,Windows,1,Agile;Lean,I don't use version control,,I'm not sure/I don't know,,,Neither agree nor disagree,Strongly agree,Somewhat disagree,Saw an online advertisement and then researched it (without clicking on the ad),4.0,2.0,6.0,5.0,1.0,3.0,7.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,7,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure,Very interested,Extremely interested,Very interested,Very interested,Very interested,Between 5:00 - 6:00 AM,5 - 8 hours,1 - 2 hours,Never,Standing desk;Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",East Asian,35 - 44 years old,No,,The survey was an appropriate length,Somewhat easy
90842,72982,Yes,Yes,Indonesia,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Student,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;C++;Java;JavaScript;Matlab;PHP;Python;Cobol;HTML;CSS,Assembly;C;C++;C#;Java;JavaScript;Matlab;PHP;Python;Ruby;SQL;Swift;Visual Basic 6;Kotlin;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,SQL Server;MySQL;IBM Db2,SQL Server;MySQL;Google BigQuery;Google Cloud Storage,Android;Apple Watch or Apple TV;Gaming console;iOS;Linux;WordPress,Android;Apple Watch or Apple TV;Gaming console;iOS;Linux;Mac OS;Windows Desktop or Server;Windows Phone;WordPress,,Cordova,Android Studio;Coda;IPython / Jupyter;NetBeans;Notepad++;PyCharm;RubyMine;Sublime Text;TextMate;Visual Studio Code,MacOS,3,Extreme programming (XP),I don't use version control,,I'm not sure/I don't know,,,Strongly agree,Strongly agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),2.0,3.0,6.0,4.0,5.0,1.0,7.0,Algorithms making important decisions,Algorithms making important decisions,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90857,82257,Yes,No,Indonesia,"Yes, full-time","Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,0-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VB.NET,Assembly;C;C++;Java,,,Windows Desktop or Server,Android;Windows Desktop or Server,.NET Core,.NET Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90876,99038,Yes,Yes,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;Student,6-8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++;C#;Go;Java;JavaScript;Lua;Objective-C;Perl;PHP;Python;Ruby;SQL;VB.NET;HTML;CSS;Bash/Shell,Assembly;C;C++;C#;Go;Groovy;JavaScript;Objective-C;Perl;PHP;Python;Ruby;Rust;Scala;SQL;TypeScript;VBA;VB.NET;Kotlin;Ocaml;Cobol;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;Google Cloud Storage,Cassandra,Android;Gaming console;Google Cloud Platform/App Engine;Linux;Windows Desktop or Server;WordPress,Android;AWS;Azure;Linux;Mac OS;Raspberry Pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90976,20612,Yes,No,Indonesia,"Yes, full-time","Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;Student,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;C++;C#;Java;JavaScript;PHP;SQL;VBA;VB.NET;Visual Basic 6;Cobol;HTML;CSS,Python;Ruby;Swift,SQL Server;MySQL;SQLite;MariaDB,,Android;AWS;Linux;Windows Desktop or Server;WordPress,Arduino;Google Cloud Platform/App Engine;Serverless;Firebase,.NET Core;Node.js,Spring;TensorFlow,Android Studio;Sublime Text;Visual Studio Code,Windows,1,Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies),Zip file back-ups,Weekly or a few times per month,Yes,Yes,The website I was visiting forced me to disable it to access their content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90983,21386,Yes,No,Indonesia,"Yes, full-time","Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Front-end developer;Full-stack developer;Student,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;C++;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,C#;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes,Somewhat interested,Very interested,Very interested,Extremely interested,A little bit interested,Between 6:01 - 7:00 AM,Over 12 hours,3 - 4 hours,Never,,I don't typically exercise,,,,,,,,,
90992,24931,Yes,No,Indonesia,"Yes, full-time",Retired,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Game or graphics developer;Mobile developer;Student,0-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;C++;C#;Java,Kotlin,,,Android,Gaming console;Google Cloud Platform/App Engine;Windows Desktop or Server;Firebase,,TensorFlow,Android Studio,Windows,2,,Git,Less than once per month,No,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,No,,"No, I didn't know that Stack Overflow had a jobs board",,,No,Very interested,Very interested,Very interested,A little bit interested,Extremely interested,I work night shifts,5 - 8 hours,Over 4 hours,3 - 4 times per week,Standing desk,Daily or almost every day,,,,,,,,,
91172,64563,Yes,Yes,Indonesia,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Engineering manager;Front-end developer;Game or graphics developer;Mobile developer,6-8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;C++;C#;Go;Java;PHP,,MongoDB;MySQL;PostgreSQL,,Android;iOS;Linux;Windows Desktop or Server,,,,Android Studio;IntelliJ;Visual Studio Code,Linux-based,2,Kanban,Git;Subversion,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it,Somewhat agree,Somewhat disagree,Somewhat agree,Clicked on an online advertisement,,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",10 (Very Likely),I'm not sure,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Before 5:00 AM,Over 12 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse,Daily or almost every day,,,,,,,,,
91206,73803,Yes,Yes,Indonesia,"Yes, full-time","Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Database administrator;DevOps specialist;Educator or academic researcher;Student;System administrator,12-14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;C++;C#;Go;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,C;C#;Go;Python;Bash/Shell,MySQL;MariaDB,MySQL,Azure;Linux,AWS;Azure;Linux;Serverless,Django;Node.js;Spring,,Sublime Text;Vim;Visual Studio Code,MacOS,1,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Kanban;Pair programming;Scrum,Git,Multiple times per day,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91268,87735,Yes,No,Indonesia,No,"Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Database administrator;Front-end developer;Student,0-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;C++;C#;Java;JavaScript;Matlab;PHP;Delphi/Object Pascal;Cobol;HTML;CSS,SQL,,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;Apache HBase;Apache Hive,,,,,Eclipse;NetBeans;Visual Studio,Windows,1,,I don't use version control,,I'm not sure/I don't know,,,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
